2025-04-23 18:14:15.493 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:14:15.493 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:14:35.360 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:14:35.360 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:14:35.384 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:14:35.385 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:14:35.390 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:14:35.391 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:14:41.517 | 6637b40766494865992700aefaa85672 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 18:14:41.518 | 6637b40766494865992700aefaa85672 | INFO     | module_admin.controller.task_controller:execute_task_list:40 - args: [], kwargs: {}
2025-04-23 18:14:41.521 | 6637b40766494865992700aefaa85672 | INFO     | module_admin.controller.task_controller:execute_task_list:44 - 已在进程 107373 中启动任务
2025-04-23 18:14:41.522 | 6637b40766494865992700aefaa85672 | INFO     | module_admin.controller.task_controller:execute_task_list:40 - args: [], kwargs: {}
2025-04-23 18:14:41.525 | 6637b40766494865992700aefaa85672 | INFO     | module_admin.controller.task_controller:execute_task_list:44 - 已在进程 107374 中启动任务
2025-04-23 19:02:53.804 | 435088e247384109b1f8244cc5b37265 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 19:02:53.808 | 435088e247384109b1f8244cc5b37265 | INFO     | module_admin.controller.task_controller:execute_task_list:40 - args: [], kwargs: {}
2025-04-23 19:02:53.814 | 435088e247384109b1f8244cc5b37265 | INFO     | module_admin.controller.task_controller:execute_task_list:44 - 已在进程 123879 中启动任务
2025-04-23 19:02:53.815 | 435088e247384109b1f8244cc5b37265 | INFO     | module_admin.controller.task_controller:execute_task_list:40 - args: [], kwargs: {}
2025-04-23 19:02:53.818 | 435088e247384109b1f8244cc5b37265 | INFO     | module_admin.controller.task_controller:execute_task_list:44 - 已在进程 123880 中启动任务
2025-04-23 19:12:11.934 |  | INFO     | config.get_redis:close_redis_pool:52 - 关闭redis连接成功
2025-04-23 20:04:37.220 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:04:37.220 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:04:37.245 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:04:37.245 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:04:37.251 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:04:37.251 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:06:15.158 | 52f77822d5f4417784fc1462960d11fc | INFO     | module_admin.controller.task_controller:execute_task_list:38 - 获取成功
